state_code,household_size,household_weight,household_agi,employment_income,fed_income_tax,ca_income_tax,filing_status,is_married_couple,size_bucket,consumption_allowance,rebate_after_phaseout,excess_over_threshold,allowance_no_phaseout,allowance_phaseout
CA,1,62.14043,0.0,0.0,0.0,0.0,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,4,1178.147,21562.2861328125,28562.2861328125,0.0,-331.9492492675781,mfj,1,4,39440.0,39440.0,0.0,39440.0,39440.0
CA,1,0.045315895,92955.828125,94285.7109375,12291.2822265625,4532.0341796875,single,0,1,14580.0,2054.08051875,42955.828125,14580.0,2054.08051875
CA,4,183.82866,4817.14306640625,18857.14306640625,-567.857177734375,-2319.7262420654297,single,0,4,30000.0,30000.0,0.0,30000.0,30000.0
CA,2,6.8879547,105542.921875,85904.76171875,8697.150390625,2534.895263671875,mfj,1,2,29160.0,27543.68398125,5542.921875,29160.0,27543.68398125
CA,5,304.78607,346628.0,348228.56689453125,56323.9375,22640.884765625,mfj,1,5,44580.0,0.0,246628.0,44580.0,0.0
CA,8,167.36208,270072.09375,282857.140625,19184.13671875,10801.887451171875,mfj,1,7,54860.0,0.0,170072.09375,54860.0,0.0
CA,5,2102.6829,187114.421875,93238.09375,23332.28515625,7000.806640625,mfj,1,5,44580.0,5744.3907281249985,87114.421875,44580.0,5744.3907281249985
CA,2,47693.484,102328.09765625,115238.09765625,8311.37158203125,1968.7825317382812,mfj,1,2,29160.0,28481.1267234375,2328.09765625,29160.0,28481.1267234375
CA,3,85166.14,34499.6953125,26190.4755859375,0.0,-176.67041015625,mfj,1,3,34300.0,34300.0,0.0,34300.0,34300.0
CA,4,442.64206,83468.39062500001,95542.859375,3169.45297241211,23.933532714843746,mfj,1,4,39440.0,39440.0,0.0,39440.0,39440.0
CA,1,490.79343,12371.4287109375,12571.4287109375,0.0,-181.5834197998047,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,3,131.68205,35904.76171875,41904.76171875,439.95635986328125,3.0,mfj,1,3,34300.0,34300.0,0.0,34300.0,34300.0
CA,3,758.1836,9276.7109375,0.0,0.0,0.0,mfj,1,3,34300.0,34300.0,0.0,34300.0,34300.0
CA,1,8173.9336,60010.109375,53742.85546875,5198.322265625,1702.7666015625,single,0,1,14580.0,11661.052106250001,10010.109375,14580.0,11661.052106250001
CA,2,2.2021565,8607.859375,0.0,0.0,0.0,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,1,215511.53,191349.109375,24095.23828125,27794.337890625,11892.2607421875,single,0,1,14580.0,0.0,141349.109375,14580.0,0.0
CA,2,1770.3824,31312.281982421875,0.0,1281.6033935546875,2.0,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,2,69180.51,98966.255859375,9952.380859375,10398.1572265625,3574.5277099609375,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,2,1.4400218,54593.16796875,0.0,2397.18017578125,213.14337158203125,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,1,49.85779,14.575576782226562,0.0,0.0,0.0,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,6,77.72423,96343.533203125,94285.7138671875,2225.8955078125,114.25791931152344,mfj,1,6,49720.0,49720.0,0.0,49720.0,49720.0
CA,3,789.6187,63854.78125,0.0,2329.147216796875,6.0,mfj,1,3,34300.0,34300.0,0.0,34300.0,34300.0
CA,2,110.76755,31829.419921875,31428.572265625,107.9419937133789,-1.9128522872924805,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,3,533.8872,596282.375,206380.953125,125670.2734375,39695.3603515625,mfj,1,3,34300.0,0.0,496282.375,34300.0,0.0
CA,2,0.6383104,97473.015625,104761.90625,7728.76171875,2033.4970703125,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,1,215879.14,0.7287788391113281,0.0,0.0,0.0,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,3,28.469713,103637.90625,100571.4296875,8468.548828125,2300.594482421875,mfj,1,3,34300.0,33052.19815625,3637.90625,34300.0,33052.19815625
CA,3,4.777098,91781.5546875,115761.90625,5045.78662109375,592.2281494140625,mfj,1,3,34300.0,34300.0,0.0,34300.0,34300.0
CA,1,230.53053,105585.7109375,83685.90625,15069.8564453125,5673.330078125,single,0,1,14580.0,0.0,55585.7109375,14580.0,0.0
CA,2,15.779268,103383.90625,0.0,1008.9815673828125,10.0,mfj,1,2,29160.0,28173.2529375,3383.90625,29160.0,28173.2529375
CA,2,241.48474,223607.8190383911,130952.3828125,44640.55078125,13861.7080078125,mfj,1,2,29160.0,0.0,123607.81903839111,29160.0,0.0
CA,2,257.3499,26440.57421875,34571.4287109375,349.5238342285156,-275.3215560913086,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,1,252.12471,1208.293701171875,0.0,0.0,0.0,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,3,25.86067,233760.84375,157142.859375,34807.55078125,13123.0615234375,single,0,3,24860.0,0.0,183760.84375,24860.0,0.0
CA,4,9.209266,113729.0859375,0.0,4221.00927734375,488.875,mfj,1,4,39440.0,34025.24850625,13729.0859375,39440.0,34025.24850625
CA,2,280.34247,96482.640625,2514.28564453125,1362.6153564453125,6.0,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,5,690.63055,47103.0703125,101619.0478515625,-1700.0,4.0,mfj,1,5,44580.0,44580.0,0.0,44580.0,44580.0
CA,3,462.691,56993.568359375,62857.14453125,1250.6203126907349,102.29353046417236,mfj,1,3,34300.0,34300.0,0.0,34300.0,34300.0
CA,2,0.05627936,345298.09375,345714.28125,63403.591796875,23899.23388671875,mfj,1,2,29160.0,0.0,245298.09375,29160.0,0.0
CA,1,0.34439966,0.0,0.0,0.0,0.0,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,1,82.16367,12571.4287109375,12571.4287109375,0.0,-181.5834197998047,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,1,427.66068,384275.6875,89047.6171875,104827.734375,31980.130859375,single,0,1,14580.0,0.0,334275.6875,14580.0,0.0
CA,3,1394.6986,41915.1796875,0.0,769.2144775390625,3.0,mfj,1,3,34300.0,34300.0,0.0,34300.0,34300.0
CA,1,2.2058437,183583.015625,178095.234375,33598.421875,12968.3623046875,single,0,1,14580.0,0.0,133583.015625,14580.0,0.0
CA,3,6.284349,0.0,0.0,0.0,0.0,mfj,1,3,34300.0,34300.0,0.0,34300.0,34300.0
CA,1,264.2267,204293.453125,0.0,38264.08203125,12191.55859375,single,0,1,14580.0,0.0,154293.453125,14580.0,0.0
CA,1,224.68115,161288.265625,123619.046875,26426.728515625,10892.951171875,single,0,1,14580.0,0.0,111288.265625,14580.0,0.0
CA,3,780.19824,41585.408203125,40647.6201171875,84.27081298828125,-216.08216094970703,mfj,1,3,34300.0,34300.0,0.0,34300.0,34300.0
CA,5,537.2496,969592.375,838.09521484375,147380.734375,64490.625,mfj,1,5,44580.0,0.0,869592.375,44580.0,0.0
