household_agi,household_size,filing_status,household_weight,rebate_ptv,rebate_ptv_base
610049.3125,4,mfj,1.308854,0.0,3215.0
0.7287788391113281,2,mfj,645.7043,2115.0,2115.0
2.9151153564453125,2,mfj,11.475309,2115.0,2115.0
244780.28125,2,mfj,2190.7476,0.0,2115.0
86305.28125,3,mfj,41.570366,0.0,2665.0
438.7248420715332,2,mfj,162.7926,2115.0,2115.0
154132.8125,4,mfj,1.7682087,0.0,3215.0
78346.0625,3,mfj,105.48072,0.0,2665.0
41682.234375,4,mfj,240.38756,3215.0,3215.0
119059.828125,4,mfj,552.33545,0.0,3215.0
127118.2265625,1,single,24902.916,0.0,1565.0
198294.78125,2,mfj,96.78401,0.0,2115.0
13226.1904296875,1,single,2457.9104,1565.0,1565.0
314759.34375,2,mfj,943.375,0.0,2115.0
8481.5029296875,2,mfj,152.3886,2115.0,2115.0
143404.890625,2,mfj,794.8296,0.0,2115.0
117506.859375,4,single,77419.92,0.0,3215.0
170631.1826171875,4,mfj,437.0458,0.0,3215.0
30847.80078125,1,single,5155.96,90.43984375000001,1565.0
254281.53125,2,mfj,8187.188,0.0,2115.0
144602.796875,3,mfj,1.3288696,0.0,2665.0
43249.46875,2,mfj,785.0722,0.0,2115.0
33265.20703125,3,mfj,1258.0886,2665.0,2665.0
23626.001953125,1,single,49452.492,1534.799609375,1565.0
224675.671875,2,mfj,0.88154393,0.0,2115.0
318589.234375,3,mfj,0.23759896,0.0,2665.0
347131.0625,4,mfj,271.642,0.0,3215.0
39303.19921875,2,mfj,152621.9,599.36015625,2115.0
45960.8359375,2,mfj,548.98315,0.0,2115.0
53070.75390625,5,mfj,38.005466,3765.0,3765.0
217345.93749999997,6,single,55543.32,0.0,4315.0
134365.34375,3,single,4015.1653,0.0,2665.0
70713.015625,1,single,8837.101,0.0,1565.0
9670.917694091797,8,single,832.80145,4865.0,4865.0
39495.8046875,1,single,328.81628,0.0,1565.0
133244.421875,2,mfj,143.04784,0.0,2115.0
68142.859375,1,single,525.3468,0.0,1565.0
53574.32421875,2,single,386.18735,0.0,2115.0
259.8481140136719,1,single,56.82108,1565.0,1565.0
19567.685546875,1,single,157.58943,1565.0,1565.0
70329.7734375,2,mfj,56.365883,0.0,2115.0
147360.03125,4,mfj,390.5077,0.0,3215.0
157328.703125,1,single,73.90126,0.0,1565.0
106606.927734375,3,mfj,145.75398,0.0,2665.0
0.0,1,single,2077.334,1565.0,1565.0
19893.658203125,4,mfj,34086.39,3215.0,3215.0
102687.84375,2,mfj,157.26845,0.0,2115.0
0.0,1,single,2.5505373,1565.0,1565.0
52380.953125,3,mfj,1950.7014,183.80937500000002,2665.0
100552.15625,3,mfj,1023.8042,0.0,2665.0
