household_agi,household_size,filing_status,household_weight,rebate_flat,rebate_flat_base
48895.638671875,5,mfj,545.3122,8500.0,8500.0
110682.625,2,mfj,45.72344,2865.86875,3400.0
28907.7265625,1,single,128025.83,1700.0,1700.0
111348.96356964111,7,mfj,574.1882,11332.551821517944,11900.0
51529.61145019531,6,mfj,2640.961,10200.0,10200.0
105123.8359375,1,single,13478.813,0.0,1700.0
272381.65625,1,single,357.02194,0.0,1700.0
101292.720703125,3,mfj,4663.229,5035.36396484375,5100.0
49679.484375,2,single,1081.577,3400.0,3400.0
112801.8203125,3,mfj,9832.987,4459.908984375,5100.0
37666.9921875,2,mfj,19.990223,3400.0,3400.0
76432.8828125,3,mfj,62.909084,5100.0,5100.0
65102.93035888672,7,mfj,19.853184,11900.0,11900.0
24688.46484375,2,mfj,528.54584,3400.0,3400.0
16855.601806640625,2,mfj,2.460922,3400.0,3400.0
169563.1787109375,6,mfj,317.25516,6721.841064453125,10200.0
31997.166015625,2,mfj,10942.407,3400.0,3400.0
106221.1640625,1,single,427.3298,0.0,1700.0
6114.2861328125,1,single,332.51688,1700.0,1700.0
48934.9296875,4,mfj,17.114391,6800.0,6800.0
101999.5078125,4,mfj,326.64597,6700.024609375,6800.0
23783.88671875,4,mfj,299.16147,6800.0,6800.0
38433.24121093749,4,single,866.511,6800.0,6800.0
59057.44726562501,5,mfj,847.9863,8500.0,8500.0
27248.099609375,1,single,7474.6733,1700.0,1700.0
115954.658203125,8,mfj,9.305492,12802.26708984375,13600.0
57146.859375,9,single,756.8139,14942.65703125,15300.0
0.0,1,single,832.94165,1700.0,1700.0
128881.3046875,4,mfj,142.37355,5355.934765625,6800.0
88605.5,3,mfj,30.609612,5100.0,5100.0
79586.0,4,mfj,40.58507,6800.0,6800.0
111047.62109375,4,single,0.3100795,3747.6189453125,6800.0
671357.5,3,mfj,261.46893,0.0,5100.0
34475.4296875,1,single,203286.88,1700.0,1700.0
12828.571044921877,3,mfj,1180.6827,5100.0,5100.0
145056.15625,2,single,2655.2344,0.0,3400.0
35808.3125,5,mfj,567.7223,8500.0,8500.0
46342.857421875,2,mfj,5.695296,3400.0,3400.0
12571.4287109375,8,single,4233.933,13600.0,13600.0
162363.609375,6,single,201.94044,4581.819531249999,10200.0
355132.3203125,9,mfj,429.59494,2543.3839843749993,15300.0
73689.78018188477,5,mfj,587.4143,8500.0,8500.0
108592.8515625,5,mfj,1273.3971,8070.357421875,8500.0
157428.53125,1,single,168967.17,0.0,1700.0
0.0,4,single,269234.56,6800.0,6800.0
90987.1796875,2,mfj,1098886.1,3400.0,3400.0
3637.5341796875,1,single,617.92834,1700.0,1700.0
33964.76171875,3,mfj,766.76135,5100.0,5100.0
52813.07421875,5,mfj,317.73767,8500.0,8500.0
42186.4033203125,4,mfj,5554.07,6800.0,6800.0
0.7287788391113281,1,single,16.722052,1700.0,1700.0
0.0,1,single,6.391135,1700.0,1700.0
104250.6953125,4,mfj,0.56752926,6587.465234375,6800.0
63238.65625,4,single,166898.03,6138.0671875,6800.0
94285.7109375,1,single,8.780729,0.0,1700.0
24163.926307678223,3,mfj,424.32993,5100.0,5100.0
44905.4013671875,5,mfj,71.419,8500.0,8500.0
253512.4375,2,mfj,14.729505,0.0,3400.0
209523.8125,1,single,107.50967,0.0,1700.0
172930.015625,4,mfj,1.2132101,3153.4992187499997,6800.0
49598.95703125,3,mfj,83.09512,5100.0,5100.0
29388.29296875,4,mfj,3763.1382,6800.0,6800.0
0.7287788391113281,2,mfj,3888.4065,3400.0,3400.0
42595.42578125,4,mfj,192.7214,6800.0,6800.0
77261.953125,2,mfj,43.880035,3400.0,3400.0
68356.1875,1,single,15550.695,782.190625,1700.0
136190.46875,4,mfj,4132.3735,4990.4765625,6800.0
87692.421875,5,mfj,2.4600115,8500.0,8500.0
231732.734375,2,mfj,5146.388,0.0,3400.0
3296.426025390625,2,mfj,3.4692032,3400.0,3400.0
41247.69140625,2,mfj,913.1539,3400.0,3400.0
